number,formid,form.section_1_visit_information.visit_date,form.section_1_visit_information.crop_stage,form.section_1_visit_information.crops_observed_during_this_visit,form.section_1_visit_information.select_crop_condition.crop_condition_maize,form.section_1_visit_information.select_crop_condition.crop_condition_rice,form.section_1_visit_information.select_crop_condition.crop_condition_groundnuts,form.section_2_livestock_monitoring.which_livestock_were_observed_during_this_visit,form.section_2_livestock_monitoring.select_livestock_condition.goat_condition,form.section_2_livestock_monitoring.select_livestock_condition.rabbit_condition,form.section_3_adoption_of_recommended_practices.has_the_farmer_adopted_the_recommended_farming_practices,form.section_3_adoption_of_recommended_practices.which_recommended_practices_have_been_adopted,form.section_4_farm_challenges.what_challenges_were_observed_during_the_visit,form.section_4_farm_challenges.additional_comments,form.section_4_farm_challenges.capture_farm_photograph,form.section_5_farm_location.capture_monitoring_visit_gps,form.case.@case_id,completed_time,started_time,username,received_on,form_link,hq_user,monitoring_duration_minutes,monitoring_latitude,monitoring_longitude,registration_latitude,registration_longitude,gps_distance_meters,gps_within_expected_range
387,bbf2e24e-707f-4e92-918a-52ff7728242e,2026-06-02,flowering,rice,---,good,---,goats,fair,---,yes,pest_management improved_seed timely_weeding proper_spacing fertilizer_application,pest_infestation lack_of_fertilizer flooding,Monitoring completed successfully.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/bbf2e24e-707f-4e92-918a-52ff7728242e/1783178713412.jpg,10.3249428 7.3367786 0.0 20.0,491843a6-18dc-4a29-bf2b-580484d54631,2026-06-02 08:45:00,2026-06-02 08:39:00,tester_03,2026-06-02 08:45:13,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/bbf2e24e-707f-4e92-918a-52ff7728242e/,tester_03,6.0,10.3249428,7.3367786,10.324901,7.3362836,54.34932201507162,Yes
388,cc1064df-7b94-4acd-8ea0-5b36e7cee5fe,2026-05-07,land_preparation,rice,---,fair,---,goats,good,---,yes,improved_livestock_housing timely_weeding proper_spacing,livestock_disease feed_shortage,Monitoring completed successfully.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/cc1064df-7b94-4acd-8ea0-5b36e7cee5fe/1784720952211.jpg,10.3248172 7.3362577 0.0 20.0,491843a6-18dc-4a29-bf2b-580484d54631,2026-05-07 08:08:00,2026-05-07 08:05:00,tester_03,2026-05-07 08:08:11,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/cc1064df-7b94-4acd-8ea0-5b36e7cee5fe/,tester_03,3.0,10.3248172,7.3362577,10.324901,7.3362836,9.739369027297771,Yes
389,656f4660-2a24-4066-af08-5ad92377d5b3,2026-04-16,land_preparation,maize,good,---,---,---,---,---,yes,improved_livestock_housing fertilizer_application timely_weeding pest_management improved_seed,no_major_challenge,Farmer following recommendations.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/656f4660-2a24-4066-af08-5ad92377d5b3/1784415003361.jpg,10.4290588 7.2555438 0.0 20.0,683175ab-1d13-40af-a808-ed4f8d20fc1d,2026-04-16 11:53:00,2026-04-16 11:48:00,tester_02,2026-04-16 11:53:17,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/656f4660-2a24-4066-af08-5ad92377d5b3/,tester_02,5.0,10.4290588,7.2555438,10.4291063,7.2559886,48.928333660485215,Yes
390,e34cb268-a87a-4b3b-afdb-f25f1767345c,2026-11-01,flowering,groundnuts,---,---,poor,---,---,---,yes,pest_management improved_seed timely_weeding,no_major_challenge,Monitoring completed successfully.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/e34cb268-a87a-4b3b-afdb-f25f1767345c/1784577975307.jpg,10.5873898 7.4048728 0.0 20.0,64cbefc1-be59-467d-92f2-0ff89892044b,2026-11-01 15:15:00,2026-11-01 15:07:00,tester_04,2026-11-01 15:15:16,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/e34cb268-a87a-4b3b-afdb-f25f1767345c/,tester_04,8.0,10.5873898,7.4048728,10.5872127,7.4052742,48.09064437468198,Yes
391,710852a1-b680-4149-8045-e36090dbbbe1,2026-07-28,planting,groundnuts,---,---,good,---,---,---,yes,proper_spacing pest_management fertilizer_application,no_major_challenge,Crop growth is satisfactory.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/710852a1-b680-4149-8045-e36090dbbbe1/1783262880420.jpg,10.6350608 7.4269647 0.0 20.0,64cbefc1-be59-467d-92f2-0ff89892044b,2026-07-28 08:28:00,2026-07-28 08:25:00,tester_04,2026-07-28 08:28:07,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/710852a1-b680-4149-8045-e36090dbbbe1/,tester_04,3.0,10.6350608,7.4269647,10.5872127,7.4052742,5824.709603962734,No
392,720e2b54-1aef-4c31-a98a-2344026d0456,2026-08-12,planting,rice maize,poor,poor,---,---,---,---,yes,improved_livestock_housing proper_spacing improved_seed pest_management fertilizer_application timely_weeding,no_major_challenge,Crop growth is satisfactory.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/720e2b54-1aef-4c31-a98a-2344026d0456/1783490662201.jpg,10.3812768 7.3353077 0.0 20.0,a7d318bb-d063-4053-961d-eb7c196497c7,2026-08-12 16:52:00,2026-08-12 16:44:00,tester_03,2026-08-12 16:52:15,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/720e2b54-1aef-4c31-a98a-2344026d0456/,tester_03,8.0,10.3812768,7.3353077,10.3809498,7.3351293,41.265476250731744,Yes
393,39c9743d-9fab-46fb-b5ef-a3a8cd5366ed,2026-08-02,harvesting,rice,---,good,---,---,---,---,yes,improved_livestock_housing fertilizer_application pest_management,livestock_disease,Crop growth is satisfactory.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/39c9743d-9fab-46fb-b5ef-a3a8cd5366ed/1784347749074.jpg,10.3807340 7.3352286 0.0 20.0,a7d318bb-d063-4053-961d-eb7c196497c7,2026-08-02 13:49:00,2026-08-02 13:47:00,tester_03,2026-08-02 13:49:05,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/39c9743d-9fab-46fb-b5ef-a3a8cd5366ed/,tester_03,2.0,10.380734,7.3352286,10.3809498,7.3351293,26.339347250689162,Yes
394,c8524f20-5a77-45c4-8aa8-878ea39b6b4f,2026-08-11,vegetative_growth,maize rice groundnuts,fair,fair,good,---,---,---,yes,improved_livestock_housing pest_management timely_weeding fertilizer_application improved_seed,livestock_disease,Minor challenges observed.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/c8524f20-5a77-45c4-8aa8-878ea39b6b4f/1784558099485.jpg,10.3812737 7.3348145 0.0 20.0,a7d318bb-d063-4053-961d-eb7c196497c7,2026-08-11 11:10:00,2026-08-11 11:02:00,tester_03,2026-08-11 11:10:25,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/c8524f20-5a77-45c4-8aa8-878ea39b6b4f/,tester_03,8.0,10.3812737,7.3348145,10.3809498,7.3351293,49.82630698931025,Yes
395,1c26e683-28b8-4da8-b75e-bd172ebddb7e,2026-07-31,vegetative_growth,rice maize groundnuts,poor,poor,poor,---,---,---,partially,pest_management proper_spacing,crop_disease,Minor challenges observed.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/1c26e683-28b8-4da8-b75e-bd172ebddb7e/1784512226459.jpg,10.5851349 7.3097655 0.0 20.0,ac4e379d-4587-441b-9499-32bb4975d12f,2026-07-31 08:36:00,2026-07-31 08:29:00,tester_04,2026-07-31 08:36:21,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/1c26e683-28b8-4da8-b75e-bd172ebddb7e/,tester_04,7.0,10.5851349,7.3097655,10.5849507,7.309985,31.545690503486952,Yes
396,4a12f529-b042-4a6c-8973-763a45b8866c,2026-06-24,harvesting,groundnuts,---,---,fair,goats rabbits,fair,fair,yes,proper_spacing fertilizer_application,no_major_challenge,Farm progressing well.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/4a12f529-b042-4a6c-8973-763a45b8866c/1783957073857.jpg,10.5007909 7.4340094 0.0 20.0,ee536f03-af9a-49dd-bef0-4b82dcc0af54,2026-06-24 15:01:00,2026-06-24 14:55:00,tester_01,2026-06-24 15:01:12,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/4a12f529-b042-4a6c-8973-763a45b8866c/,tester_01,6.0,10.5007909,7.4340094,10.5008535,7.4344116,44.5211200784047,Yes
397,a0b9cb96-4a1d-4cb4-986d-b1223fd2783a,2026-08-13,vegetative_growth,maize,good,---,---,goats rabbits,fair,fair,no,---,pest_infestation poor_rainfall lack_of_fertilizer,Farmer following recommendations.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/a0b9cb96-4a1d-4cb4-986d-b1223fd2783a/1784943275636.jpg,10.5004163 7.4347218 0.0 20.0,ee536f03-af9a-49dd-bef0-4b82dcc0af54,2026-08-13 10:02:00,2026-08-13 09:57:00,tester_01,2026-08-13 10:02:06,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/a0b9cb96-4a1d-4cb4-986d-b1223fd2783a/,tester_01,5.0,10.5004163,7.4347218,10.5008535,7.4344116,59.27554448598129,Yes
398,e1b00696-b9cf-4cc4-b979-83f189e9bd8c,2026-08-09,planting,maize rice groundnuts,good,fair,fair,rabbits,---,fair,yes,improved_seed improved_livestock_housing fertilizer_application proper_spacing,no_major_challenge,Minor challenges observed.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/e1b00696-b9cf-4cc4-b979-83f189e9bd8c/1784170052588.jpg,10.5731825 7.3929487 0.0 20.0,fe4ef073-9212-4a13-a678-1716fc585a01,2026-08-09 11:37:00,2026-08-09 11:34:00,tester_02,2026-08-09 11:37:15,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/e1b00696-b9cf-4cc4-b979-83f189e9bd8c/,tester_02,3.0,10.5731825,7.3929487,10.5734027,7.3928745,25.793461862112206,Yes
399,f525ac6b-4845-4086-8653-8b2a75ed9015,2026-10-17,land_preparation,maize rice groundnuts,poor,good,good,rabbits,---,fair,partially,proper_spacing,no_major_challenge,Crop growth is satisfactory.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/f525ac6b-4845-4086-8653-8b2a75ed9015/1784007749460.jpg,10.5734105 7.3926413 0.0 20.0,fe4ef073-9212-4a13-a678-1716fc585a01,2026-10-17 12:23:00,2026-10-17 12:15:00,tester_02,2026-10-17 12:23:30,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/f525ac6b-4845-4086-8653-8b2a75ed9015/,tester_02,8.0,10.5734105,7.3926413,10.5734027,7.3928745,25.505121691731237,Yes
400,6ded06c0-6c05-4e8f-b758-13dd248d276f,2026-07-03,land_preparation,maize,fair,---,---,goats,good,---,yes,timely_weeding improved_seed fertilizer_application,crop_disease lack_of_fertilizer,Monitoring completed successfully.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/6ded06c0-6c05-4e8f-b758-13dd248d276f/1784991714199.jpg,10.4436923 7.2020934 0.0 20.0,d662f067-7388-4efc-8fd1-079f8244c6bb,2026-07-03 14:58:00,2026-07-03 14:55:00,tester_06,2026-07-03 14:58:18,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/6ded06c0-6c05-4e8f-b758-13dd248d276f/,tester_06,3.0,10.4436923,7.2020934,10.4435147,7.2017117,46.17594957959525,Yes
401,1f65493e-2ba2-46f4-b812-a86aaa0ab482,2026-05-27,land_preparation,groundnuts,---,---,poor,---,---,---,yes,fertilizer_application improved_livestock_housing improved_seed proper_spacing,no_major_challenge,Farmer following recommendations.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/1f65493e-2ba2-46f4-b812-a86aaa0ab482/1784637244873.jpg,10.3093541 7.6207692 0.0 20.0,44281c67-bc07-4320-b9b6-168853d5ac84,2026-05-27 13:58:00,2026-05-27 13:50:00,tester_06,2026-05-27 13:58:23,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/1f65493e-2ba2-46f4-b812-a86aaa0ab482/,tester_06,8.0,10.3093541,7.6207692,10.2884591,7.5920476,3907.934024510385,No
402,adef335e-bd0b-4e22-a159-74815d89c984,2026-04-24,vegetative_growth,groundnuts,---,---,good,---,---,---,partially,proper_spacing,no_major_challenge,Minor challenges observed.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/adef335e-bd0b-4e22-a159-74815d89c984/1783999179530.jpg,10.2880537 7.5918264 0.0 20.0,44281c67-bc07-4320-b9b6-168853d5ac84,2026-04-24 12:16:00,2026-04-24 12:14:00,tester_06,2026-04-24 12:16:20,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/adef335e-bd0b-4e22-a159-74815d89c984/,tester_06,2.0,10.2880537,7.5918264,10.2884591,7.5920476,51.16390702306063,Yes
403,264f7731-298b-4a46-a873-4c2c66154929,2026-02-09,vegetative_growth,groundnuts,---,---,poor,---,---,---,yes,timely_weeding proper_spacing,no_major_challenge,Monitoring completed successfully.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/264f7731-298b-4a46-a873-4c2c66154929/1784684944643.jpg,10.2879653 7.5920741 0.0 20.0,44281c67-bc07-4320-b9b6-168853d5ac84,2026-02-09 16:06:00,2026-02-09 16:02:00,tester_06,2026-02-09 16:06:12,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/264f7731-298b-4a46-a873-4c2c66154929/,tester_06,4.0,10.2879653,7.5920741,10.2884591,7.5920476,54.98454649402717,Yes
404,7cefe2b8-674b-4504-865a-2bee76fa1c91,2026-06-01,land_preparation,rice groundnuts maize,poor,fair,good,---,---,---,partially,proper_spacing,no_major_challenge,Crop growth is satisfactory.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/7cefe2b8-674b-4504-865a-2bee76fa1c91/1783223010640.jpg,10.3287001 7.5376825 0.0 20.0,acb99023-b22a-4b04-bdd6-cc2d4a1800d6,2026-06-01 16:56:00,2026-06-01 16:50:00,tester_07,2026-06-01 16:56:30,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/7cefe2b8-674b-4504-865a-2bee76fa1c91/,tester_07,6.0,10.3287001,7.5376825,10.3291997,7.5377366,55.867332065972995,Yes
405,2d442c33-8991-49f9-83cd-824d73d13b55,2026-07-12,harvesting,groundnuts,---,---,fair,---,---,---,yes,proper_spacing pest_management,no_major_challenge,Farmer following recommendations.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/2d442c33-8991-49f9-83cd-824d73d13b55/1784370056891.jpg,10.5332485 7.5282405 0.0 20.0,d0bfc479-375f-40a2-b5b0-3e10ff9071e2,2026-07-12 09:19:00,2026-07-12 09:13:00,tester_04,2026-07-12 09:19:25,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/2d442c33-8991-49f9-83cd-824d73d13b55/,tester_04,6.0,10.5332485,7.5282405,10.533007,7.5286535,52.531959138476296,Yes
406,7ddd77b1-4718-4373-a73a-3624cf90d0b8,2026-05-13,vegetative_growth,groundnuts,---,---,poor,---,---,---,yes,proper_spacing timely_weeding improved_livestock_housing fertilizer_application,no_major_challenge,Farmer following recommendations.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/7ddd77b1-4718-4373-a73a-3624cf90d0b8/1783633247225.jpg,10.5330998 7.5290345 0.0 20.0,d0bfc479-375f-40a2-b5b0-3e10ff9071e2,2026-05-13 14:33:00,2026-05-13 14:27:00,tester_04,2026-05-13 14:33:28,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/7ddd77b1-4718-4373-a73a-3624cf90d0b8/,tester_04,6.0,10.5330998,7.5290345,10.533007,7.5286535,42.91058445879372,Yes
407,5ee0d15a-03f6-42ac-b291-fc77063b9538,2026-07-22,vegetative_growth,maize,fair,---,---,---,---,---,yes,pest_management improved_livestock_housing,no_major_challenge,Farm progressing well.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/5ee0d15a-03f6-42ac-b291-fc77063b9538/1784576436288.jpg,10.5749718 7.5127094 0.0 20.0,fd7dd9db-5dbf-4bc0-a6db-c48e8e4b505e,2026-07-22 11:19:00,2026-07-22 11:11:00,tester_06,2026-07-22 11:19:11,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/5ee0d15a-03f6-42ac-b291-fc77063b9538/,tester_06,8.0,10.5749718,7.5127094,10.5750339,7.5131717,51.00193334978472,Yes
408,54a81631-147b-4cd6-951e-baa5f79b95da,2026-05-05,harvesting,rice maize,fair,fair,---,---,---,---,yes,timely_weeding fertilizer_application improved_seed improved_livestock_housing,no_major_challenge,Monitoring completed successfully.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/54a81631-147b-4cd6-951e-baa5f79b95da/1784848922672.jpg,10.5749532 7.5135238 0.0 20.0,fd7dd9db-5dbf-4bc0-a6db-c48e8e4b505e,2026-05-05 14:10:00,2026-05-05 14:04:00,tester_06,2026-05-05 14:10:10,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/54a81631-147b-4cd6-951e-baa5f79b95da/,tester_06,6.0,10.5749532,7.5135238,10.5750339,7.5131717,39.51902521050671,Yes
409,9e58c2a3-1fd5-40b1-9851-ef8d44fbc61e,2026-05-08,vegetative_growth,maize,poor,---,---,goats,fair,---,no,---,no_major_challenge,Monitoring completed successfully.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/9e58c2a3-1fd5-40b1-9851-ef8d44fbc61e/1784136762839.jpg,10.5339510 7.5436321 0.0 20.0,9e753c31-3dc0-40ef-bde5-13a19a7cc57d,2026-05-08 14:34:00,2026-05-08 14:29:00,tester_01,2026-05-08 14:34:26,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/9e58c2a3-1fd5-40b1-9851-ef8d44fbc61e/,tester_01,5.0,10.533951,7.5436321,10.53407,7.5434809,21.17332020866101,Yes
410,27841b5b-825d-4ca7-8fcb-a0e15e8acf8e,2026-03-02,land_preparation,maize,poor,---,---,goats,fair,---,yes,timely_weeding improved_seed,no_major_challenge,Crop growth is satisfactory.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/27841b5b-825d-4ca7-8fcb-a0e15e8acf8e/1784506138712.jpg,10.5606591 7.5887399 0.0 20.0,9e753c31-3dc0-40ef-bde5-13a19a7cc57d,2026-03-02 08:43:00,2026-03-02 08:40:00,tester_01,2026-03-02 08:43:28,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/27841b5b-825d-4ca7-8fcb-a0e15e8acf8e/,tester_01,3.0,10.5606591,7.5887399,10.53407,7.5434809,5763.634295380759,No
411,dfd89770-efdb-4b73-af12-91233b9aa6ca,2026-07-30,planting,rice maize,poor,poor,---,---,---,---,partially,timely_weeding improved_livestock_housing,no_major_challenge,Monitoring completed successfully.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/dfd89770-efdb-4b73-af12-91233b9aa6ca/1784983335749.jpg,10.2296945 7.2122288 0.0 20.0,aa3de7b3-67d9-4cc6-97f5-819e54d29275,2026-07-30 11:05:00,2026-07-30 11:01:00,tester_06,2026-07-30 11:05:12,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/dfd89770-efdb-4b73-af12-91233b9aa6ca/,tester_06,4.0,10.2296945,7.2122288,10.2294925,7.212007,33.069538846442356,Yes
412,59561ab0-cd9c-4c8c-a82f-2c2df1b4a436,2026-06-10,vegetative_growth,maize,poor,---,---,---,---,---,yes,proper_spacing timely_weeding improved_seed pest_management,no_major_challenge,Monitoring completed successfully.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/59561ab0-cd9c-4c8c-a82f-2c2df1b4a436/1783788324178.jpg,10.2293370 7.2119211 0.0 20.0,aa3de7b3-67d9-4cc6-97f5-819e54d29275,2026-06-10 14:09:00,2026-06-10 14:06:00,tester_06,2026-06-10 14:09:14,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/59561ab0-cd9c-4c8c-a82f-2c2df1b4a436/,tester_06,3.0,10.229337,7.2119211,10.2294925,7.212007,19.680668221133935,Yes
413,af7bea7d-b98f-4339-a270-52b53a9e9a19,2026-04-12,harvesting,maize rice,poor,good,---,---,---,---,no,---,no_major_challenge,Minor challenges observed.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/af7bea7d-b98f-4339-a270-52b53a9e9a19/1784357744771.jpg,10.2290666 7.2118486 0.0 20.0,aa3de7b3-67d9-4cc6-97f5-819e54d29275,2026-04-12 13:28:00,2026-04-12 13:22:00,tester_06,2026-04-12 13:28:05,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/af7bea7d-b98f-4339-a270-52b53a9e9a19/,tester_06,6.0,10.2290666,7.2118486,10.2294925,7.212007,50.430310914673214,Yes
414,c39b7dc8-3966-4894-b84a-bd278304c443,2026-07-13,vegetative_growth,maize groundnuts,good,---,good,goats,poor,---,yes,timely_weeding proper_spacing improved_seed improved_livestock_housing pest_management fertilizer_application,crop_disease feed_shortage pest_infestation,Monitoring completed successfully.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/c39b7dc8-3966-4894-b84a-bd278304c443/1783353062606.jpg,10.3500714 7.4394628 0.0 20.0,440c73f1-5a71-4ea3-9f19-c5afb1b5d7ff,2026-07-13 14:02:00,2026-07-13 13:56:00,tester_05,2026-07-13 14:02:09,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/c39b7dc8-3966-4894-b84a-bd278304c443/,tester_05,6.0,10.3500714,7.4394628,10.3497021,7.4398197,56.660192538792266,Yes
415,a9dabb82-5c91-431c-bb8f-eb53f6d530c5,2026-06-25,harvesting,groundnuts rice maize,good,good,good,goats,good,---,yes,fertilizer_application proper_spacing timely_weeding improved_seed pest_management,no_major_challenge,Monitoring completed successfully.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/a9dabb82-5c91-431c-bb8f-eb53f6d530c5/1783977248412.jpg,10.3499900 7.4396827 0.0 20.0,440c73f1-5a71-4ea3-9f19-c5afb1b5d7ff,2026-06-25 14:01:00,2026-06-25 13:55:00,tester_05,2026-06-25 14:01:11,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/a9dabb82-5c91-431c-bb8f-eb53f6d530c5/,tester_05,6.0,10.34999,7.4396827,10.3497021,7.4398197,35.3469769793487,Yes
416,cec56f54-45f3-4b0d-9902-9815066d0500,2026-03-24,harvesting,maize,poor,---,---,---,---,---,yes,improved_seed fertilizer_application,no_major_challenge,Farmer following recommendations.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/cec56f54-45f3-4b0d-9902-9815066d0500/1784283863280.jpg,10.2829633 7.5576544 0.0 20.0,8be01457-9e45-4dd1-bdbe-4af190e8b01e,2026-03-24 11:56:00,2026-03-24 11:54:00,tester_06,2026-03-24 11:56:09,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/cec56f54-45f3-4b0d-9902-9815066d0500/,tester_06,2.0,10.2829633,7.5576544,10.2828798,7.5579539,34.05800262335938,Yes
417,9285d8cb-25c6-430a-97c0-604af680b7d1,2026-07-14,land_preparation,rice maize,poor,good,---,---,---,---,yes,improved_livestock_housing timely_weeding fertilizer_application pest_management improved_seed proper_spacing,lack_of_fertilizer livestock_disease,Farm progressing well.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/9285d8cb-25c6-430a-97c0-604af680b7d1/1784753397928.jpg,10.2831239 7.5581970 0.0 20.0,8be01457-9e45-4dd1-bdbe-4af190e8b01e,2026-07-14 09:35:00,2026-07-14 09:32:00,tester_06,2026-07-14 09:35:20,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/9285d8cb-25c6-430a-97c0-604af680b7d1/,tester_06,3.0,10.2831239,7.558197,10.2828798,7.5579539,38.001867825791585,Yes
418,1fc1432c-e8d3-4d64-a2d8-e4100553ea27,2026-10-30,land_preparation,groundnuts,---,---,good,goats,fair,---,yes,proper_spacing improved_seed,no_major_challenge,Crop growth is satisfactory.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/1fc1432c-e8d3-4d64-a2d8-e4100553ea27/1783431519235.jpg,10.4703836 7.2997897 0.0 20.0,ad170789-5579-4448-898a-82f7e9fdd99b,2026-10-30 11:52:00,2026-10-30 11:47:00,tester_02,2026-10-30 11:52:08,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/1fc1432c-e8d3-4d64-a2d8-e4100553ea27/,tester_02,5.0,10.4703836,7.2997897,10.4700429,7.3000095,44.8645122735916,Yes
419,263876c0-a8f2-4492-9413-55aa511dbd71,2026-08-18,harvesting,rice maize groundnuts,poor,poor,fair,goats,good,---,yes,improved_livestock_housing fertilizer_application,crop_disease pest_infestation,Farm progressing well.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/263876c0-a8f2-4492-9413-55aa511dbd71/1784831328018.jpg,10.4696427 7.2998781 0.0 20.0,ad170789-5579-4448-898a-82f7e9fdd99b,2026-08-18 14:13:00,2026-08-18 14:07:00,tester_02,2026-08-18 14:13:23,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/263876c0-a8f2-4492-9413-55aa511dbd71/,tester_02,6.0,10.4696427,7.2998781,10.4700429,7.3000095,46.76217381834007,Yes
420,004b1ae1-0970-401e-ae54-3d01531c25bc,2026-07-23,harvesting,rice maize,poor,poor,---,---,---,---,partially,fertilizer_application,pest_infestation,Minor challenges observed.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/004b1ae1-0970-401e-ae54-3d01531c25bc/1783673935193.jpg,10.5770075 7.3670335 0.0 20.0,b69fef5a-360f-4ef1-b62b-551f49fae6fd,2026-07-23 08:43:00,2026-07-23 08:36:00,tester_02,2026-07-23 08:43:15,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/004b1ae1-0970-401e-ae54-3d01531c25bc/,tester_02,7.0,10.5770075,7.3670335,10.5767719,7.3670751,26.589218912279726,Yes
421,210adff1-c1fa-4f48-9866-f2ddb57f11ac,2026-09-28,flowering,maize rice,fair,fair,---,---,---,---,partially,pest_management,lack_of_fertilizer,Farmer following recommendations.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/210adff1-c1fa-4f48-9866-f2ddb57f11ac/1783238187911.jpg,10.5771056 7.3672881 0.0 20.0,b69fef5a-360f-4ef1-b62b-551f49fae6fd,2026-09-28 11:40:00,2026-09-28 11:32:00,tester_02,2026-09-28 11:40:09,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/210adff1-c1fa-4f48-9866-f2ddb57f11ac/,tester_02,8.0,10.5771056,7.3672881,10.5767719,7.3670751,43.805168453666454,Yes
422,8dba9101-ba8a-44d5-b41d-da3c00c35056,2026-08-22,harvesting,rice maize,good,good,---,---,---,---,yes,fertilizer_application improved_seed pest_management,no_major_challenge,Farm progressing well.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/8dba9101-ba8a-44d5-b41d-da3c00c35056/1783574281670.jpg,10.5769114 7.3675736 0.0 20.0,b69fef5a-360f-4ef1-b62b-551f49fae6fd,2026-08-22 10:10:00,2026-08-22 10:03:00,tester_02,2026-08-22 10:10:12,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/8dba9101-ba8a-44d5-b41d-da3c00c35056/,tester_02,7.0,10.5769114,7.3675736,10.5767719,7.3670751,56.65378136348556,Yes
