number,formid,form.section_1_training_information.training_date,form.section_1_training_information.training_topic.choice,form.section_1_training_information.training_topic.specify_other,form.section_1_training_information.training_venue,form.section_1_training_information.trainer_name,form.section_2_attendance.did_the_farmer_attend_the_training,form.section_2_attendance.attendance_status,form.section_2_attendance.reason_for_partial_attendance,form.case.@case_id,completed_time,started_time,username,received_on,form_link,hq_user,training_duration_minutes
239,45449bbb-fe94-4455-8fcd-829202ac825f,2026-06-16,other,Financial Literacy,Primary School,Trainer 3,no,,,f9e730d9-f525-468e-b64a-c68537911a50,2026-06-16 15:31:00,2026-06-16 15:27:00,tester_06,2026-06-16 15:31:14,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/45449bbb-fe94-4455-8fcd-829202ac825f/,tester_06,4.0
240,27e2161a-a03c-4ffc-8b4a-3c6277c9efb3,2026-05-20,good_agronomic_practices,,Village Square,Trainer 4,yes,full_attendance,,745cf354-9ccb-424e-9643-8f96d11a30dc,2026-05-20 09:29:00,2026-05-20 09:27:00,tester_07,2026-05-20 09:29:08,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/27e2161a-a03c-4ffc-8b4a-3c6277c9efb3/,tester_07,2.0
241,630977fb-c235-4961-a4b7-10226da28591,2026-03-19,good_agronomic_practices,,Extension Office,Trainer 4,no,,,4f2d9b7f-28a5-446b-8bea-2584ec5c7dd9,2026-03-19 14:36:00,2026-03-19 14:31:00,tester_01,2026-03-19 14:36:18,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/630977fb-c235-4961-a4b7-10226da28591/,tester_01,5.0
242,73d97fa4-2e55-4e8f-aa4c-b43cefb48fe6,2026-02-12,pest_and_disease_management,,Extension Office,Trainer 3,yes,full_attendance,,560c0652-7f99-4846-9002-976357498496,2026-02-12 13:06:00,2026-02-12 12:59:00,tester_05,2026-02-12 13:06:12,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/73d97fa4-2e55-4e8f-aa4c-b43cefb48fe6/,tester_05,7.0
243,89dafbb9-2124-43dc-9447-9a6a0ab6cf8e,2026-07-31,record_keeping,,Community Hall,Trainer 3,yes,full_attendance,,b15a7815-d62c-4e7b-8ef7-c294526090e7,2026-07-31 09:43:00,2026-07-31 09:39:00,tester_02,2026-07-31 09:43:16,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/89dafbb9-2124-43dc-9447-9a6a0ab6cf8e/,tester_02,4.0
244,af305338-fe43-4204-8606-7e38bf8f14fb,2026-04-06,other,Climate Smart Agriculture,Primary School,Trainer 1,yes,full_attendance,,640ed8f2-61ba-4642-9c22-780737a947ad,2026-04-06 09:11:00,2026-04-06 09:05:00,tester_05,2026-04-06 09:11:13,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/af305338-fe43-4204-8606-7e38bf8f14fb/,tester_05,6.0
245,b01009e4-54ab-4f41-9f5c-3a956e072076,2026-06-03,livestock_management,,Primary School,Trainer 1,yes,full_attendance,,428333c6-394b-4e38-90e4-b1b7fa1f4b3c,2026-06-03 13:22:00,2026-06-03 13:15:00,tester_04,2026-06-03 13:22:05,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/b01009e4-54ab-4f41-9f5c-3a956e072076/,tester_04,7.0
246,60f28677-7aa0-4a74-b526-61f9c31a9b28,2026-04-05,livestock_management,,Primary School,Trainer 3,yes,full_attendance,,89410ebc-0a78-492a-8135-279e43d96c23,2026-04-05 10:11:00,2026-04-05 10:09:00,tester_02,2026-04-05 10:11:19,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/60f28677-7aa0-4a74-b526-61f9c31a9b28/,tester_02,2.0
247,de524f77-c0ce-4557-ba18-3938fea4396d,2026-07-14,good_agronomic_practices,,Extension Office,Trainer 4,yes,full_attendance,,0b24a988-159f-48ab-8cdc-570d863ec9ef,2026-07-14 11:15:00,2026-07-14 11:13:00,tester_07,2026-07-14 11:15:06,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/de524f77-c0ce-4557-ba18-3938fea4396d/,tester_07,2.0
248,952acac5-9fec-49d2-adac-b0fb61d1fc83,2026-05-23,pest_and_disease_management,,Extension Office,Trainer 3,yes,full_attendance,,0c298966-4136-4bb2-817a-e1bda8763ec6,2026-05-23 13:06:00,2026-05-23 12:59:00,tester_05,2026-05-23 13:06:06,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/952acac5-9fec-49d2-adac-b0fb61d1fc83/,tester_05,7.0
249,4ce4690d-492e-43a7-9f65-0076ac779b97,2026-06-16,other,Climate Smart Agriculture,Extension Office,Trainer 4,yes,full_attendance,,b9bce74b-4b76-4407-8288-530f8701d42d,2026-06-16 09:01:00,2026-06-16 08:53:00,tester_05,2026-06-16 09:01:09,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/4ce4690d-492e-43a7-9f65-0076ac779b97/,tester_05,8.0
250,5d05e242-753a-4ced-93c8-e0a963aaa7cf,2026-07-24,other,Financial Literacy,Village Square,Trainer 4,yes,full_attendance,,95bdd2c3-7a29-4648-be3c-6cb5bb8390a4,2026-07-24 09:21:00,2026-07-24 09:13:00,tester_07,2026-07-24 09:21:16,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/5d05e242-753a-4ced-93c8-e0a963aaa7cf/,tester_07,8.0
251,fe6f9f53-d259-4efc-8835-4fd5830ce1b0,2026-07-12,other,Financial Literacy,Farmer Cooperative Centre,Trainer 3,yes,full_attendance,,2e3ee951-f3c3-4247-adb3-b661052ef0fb,2026-07-12 12:05:00,2026-07-12 12:00:00,tester_05,2026-07-12 12:05:12,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/fe6f9f53-d259-4efc-8835-4fd5830ce1b0/,tester_05,5.0
252,6ded9f37-844b-46af-a529-3662dadce795,2026-03-09,soil_fertility_management,,Primary School,Trainer 2,yes,full_attendance,,e6a4214f-31c2-49b0-899a-c743c7b0af08,2026-03-09 15:22:00,2026-03-09 15:17:00,tester_01,2026-03-09 15:22:18,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/6ded9f37-844b-46af-a529-3662dadce795/,tester_01,5.0
253,5d38f7b1-cb8b-4bc6-8715-a2aa1bb57f14,2026-03-25,good_agronomic_practices,,Farmer Cooperative Centre,Trainer 1,yes,partial_attendance,left_early,67621e83-7e04-41a4-8c6a-893969ba340d,2026-03-25 12:29:00,2026-03-25 12:24:00,tester_06,2026-03-25 12:29:12,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/5d38f7b1-cb8b-4bc6-8715-a2aa1bb57f14/,tester_06,5.0
254,494239aa-ac6e-44d5-868f-325a1f2ebaf0,2026-07-20,livestock_management,,Community Hall,Trainer 5,yes,full_attendance,,760b363e-5d54-4525-8991-d2885f19cfc9,2026-07-20 13:59:00,2026-07-20 13:56:00,tester_01,2026-07-20 13:59:20,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/494239aa-ac6e-44d5-868f-325a1f2ebaf0/,tester_01,3.0
255,98faf955-571c-4e2b-87fc-b9b0a9651985,2026-02-20,record_keeping,,Village Square,Trainer 5,yes,full_attendance,,c6f3516e-97ea-40f6-98e0-3b79105ff1b7,2026-02-20 09:38:00,2026-02-20 09:33:00,tester_06,2026-02-20 09:38:13,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/98faf955-571c-4e2b-87fc-b9b0a9651985/,tester_06,5.0
256,07d42dfb-f3b7-4adc-972b-ecf70e8cb146,2026-04-11,pest_and_disease_management,,Community Hall,Trainer 1,yes,full_attendance,,1338f223-8adf-49c9-889b-43c120dff15f,2026-04-11 13:17:00,2026-04-11 13:13:00,tester_07,2026-04-11 13:17:10,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/07d42dfb-f3b7-4adc-972b-ecf70e8cb146/,tester_07,4.0
257,f5a8b7cd-6065-4c99-bdd2-e114ddcc3760,2026-05-21,soil_fertility_management,,Village Square,Trainer 3,yes,full_attendance,,6dafc8ba-c85a-4847-8474-026e5b94e848,2026-05-21 15:39:00,2026-05-21 15:37:00,tester_04,2026-05-21 15:39:20,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/f5a8b7cd-6065-4c99-bdd2-e114ddcc3760/,tester_04,2.0
258,9859f4fc-06cd-4a81-83f3-07c2fe62825a,2026-03-11,pest_and_disease_management,,Extension Office,Trainer 4,yes,full_attendance,,89371a83-d71a-4745-8937-2a24bd8138ae,2026-03-11 08:47:00,2026-03-11 08:45:00,tester_04,2026-03-11 08:47:11,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/9859f4fc-06cd-4a81-83f3-07c2fe62825a/,tester_04,2.0
259,d77fb00f-5cf3-4687-b649-c11e3b5c2c0a,2026-05-13,other,Climate Smart Agriculture,Community Hall,Trainer 2,yes,full_attendance,,2aa9a51b-ed7c-49f2-a230-0e2c3b7ae196,2026-05-13 11:16:00,2026-05-13 11:09:00,tester_03,2026-05-13 11:16:12,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/d77fb00f-5cf3-4687-b649-c11e3b5c2c0a/,tester_03,7.0
260,45fbeb7e-d1a9-42de-a5d2-2619b63831a2,2026-06-07,record_keeping,,Extension Office,Trainer 1,yes,partial_attendance,personal_emergency,fc37918d-cbb1-4b41-9191-e55412f3b837,2026-06-07 11:22:00,2026-06-07 11:15:00,tester_01,2026-06-07 11:22:07,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/45fbeb7e-d1a9-42de-a5d2-2619b63831a2/,tester_01,7.0
261,0c756472-5701-4510-b916-6eaa16392bd1,2026-02-11,soil_fertility_management,,Primary School,Trainer 3,no,,,55e5781a-f5a2-4340-98cb-bd69a3d46f1c,2026-02-11 11:26:00,2026-02-11 11:20:00,tester_06,2026-02-11 11:26:10,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/0c756472-5701-4510-b916-6eaa16392bd1/,tester_06,6.0
262,ecf9c5eb-45bd-4a58-a919-3eacd5c0ebbe,2026-04-21,irrigation_and_water_management,,Farmer Cooperative Centre,Trainer 2,yes,full_attendance,,da500100-54f1-4457-99b8-20530ccbf477,2026-04-21 12:07:00,2026-04-21 12:05:00,tester_04,2026-04-21 12:07:14,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/ecf9c5eb-45bd-4a58-a919-3eacd5c0ebbe/,tester_04,2.0
263,917cfb87-4d4e-4443-a441-e1dff4cabf7f,2026-05-12,record_keeping,,Primary School,Trainer 2,yes,full_attendance,,ded56cce-2ea8-4929-8509-00fd6c1a7200,2026-05-12 12:45:00,2026-05-12 12:42:00,tester_02,2026-05-12 12:45:08,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/917cfb87-4d4e-4443-a441-e1dff4cabf7f/,tester_02,3.0
264,b5347446-a700-4ab5-99a7-c90efc15bd2b,2026-06-02,good_agronomic_practices,,Community Hall,Trainer 1,yes,full_attendance,,65f68fe6-f376-40a6-a5b0-8d061949eb73,2026-06-02 08:47:00,2026-06-02 08:42:00,tester_05,2026-06-02 08:47:05,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/b5347446-a700-4ab5-99a7-c90efc15bd2b/,tester_05,5.0
265,a4f1a7dd-32ec-4efa-a6a2-b765cea2124d,2026-07-17,other,Financial Literacy,Village Square,Trainer 2,yes,full_attendance,,3a9be1f9-971d-4a1e-a2ef-2fbd1ec19ab3,2026-07-17 14:17:00,2026-07-17 14:12:00,tester_03,2026-07-17 14:17:17,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/a4f1a7dd-32ec-4efa-a6a2-b765cea2124d/,tester_03,5.0
266,4d168ad1-0373-4206-bb5e-500d65664341,2026-07-12,pest_and_disease_management,,Farmer Cooperative Centre,Trainer 4,yes,full_attendance,,4f02ea2f-e16d-4d64-b246-b3aa4a8de56f,2026-07-12 10:40:00,2026-07-12 10:38:00,tester_03,2026-07-12 10:40:09,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/4d168ad1-0373-4206-bb5e-500d65664341/,tester_03,2.0
267,f5061beb-eea7-4a4f-b44c-0e7d0fc10585,2026-02-28,soil_fertility_management,,Community Hall,Trainer 4,no,,,e54ac605-7376-4ff9-a588-0308e9499752,2026-02-28 10:51:00,2026-02-28 10:43:00,tester_06,2026-02-28 10:51:10,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/f5061beb-eea7-4a4f-b44c-0e7d0fc10585/,tester_06,8.0
268,db3ca3f0-5a3d-43ee-8a43-587f92871555,2026-05-08,pest_and_disease_management,,Community Hall,Trainer 1,yes,full_attendance,,258bedf2-df51-46d1-8fa0-894182f8842f,2026-05-08 12:31:00,2026-05-08 12:28:00,tester_02,2026-05-08 12:31:06,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/db3ca3f0-5a3d-43ee-8a43-587f92871555/,tester_02,3.0
269,10a48486-1e77-43a1-8bb3-115bf0f62a69,2026-06-12,other,Financial Literacy,Primary School,Trainer 4,yes,partial_attendance,left_early,a55e1090-3e69-429b-92e5-120ab5fb7797,2026-06-12 12:32:00,2026-06-12 12:25:00,tester_07,2026-06-12 12:32:17,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/10a48486-1e77-43a1-8bb3-115bf0f62a69/,tester_07,7.0
270,f1c27c8e-27f9-4589-b972-b2641197ee46,2026-06-03,record_keeping,,Primary School,Trainer 3,yes,full_attendance,,6755915a-df3e-4645-beba-7d3c81d2ca3e,2026-06-03 13:01:00,2026-06-03 12:54:00,tester_05,2026-06-03 13:01:05,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/f1c27c8e-27f9-4589-b972-b2641197ee46/,tester_05,7.0
271,23309620-9d33-433e-9e2f-2a3560609b12,2026-06-24,irrigation_and_water_management,,Primary School,Trainer 2,yes,full_attendance,,1e7487a9-9b99-432c-addc-fcba683ab703,2026-06-24 14:13:00,2026-06-24 14:09:00,tester_07,2026-06-24 14:13:09,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/23309620-9d33-433e-9e2f-2a3560609b12/,tester_07,4.0
272,506c1d1b-8401-4214-a654-cc28311849ed,2026-06-17,irrigation_and_water_management,,Extension Office,Trainer 3,yes,full_attendance,,916767bf-59c9-49f9-bc62-e675c7b31c4d,2026-06-17 13:51:00,2026-06-17 13:46:00,tester_03,2026-06-17 13:51:09,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/506c1d1b-8401-4214-a654-cc28311849ed/,tester_03,5.0
273,37335013-2b56-4d05-8823-b72fbc252c0b,2026-08-20,good_agronomic_practices,,Village Square,Trainer 2,yes,full_attendance,,00615db3-f925-431d-84c2-2eb3dd8757fb,2026-08-20 11:08:00,2026-08-20 11:00:00,tester_03,2026-08-20 11:08:19,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/37335013-2b56-4d05-8823-b72fbc252c0b/,tester_03,8.0
274,e4979397-8474-44a9-97be-0107fb6ed610,2026-04-05,irrigation_and_water_management,,Village Square,Trainer 2,yes,full_attendance,,41dbf9f0-d9dc-4302-a7a8-7cd171365ba2,2026-04-05 13:01:00,2026-04-05 12:59:00,tester_03,2026-04-05 13:01:12,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/e4979397-8474-44a9-97be-0107fb6ed610/,tester_03,2.0
275,b4628463-d8d4-4baf-aaa4-3650f53bf775,2026-05-09,irrigation_and_water_management,,Farmer Cooperative Centre,Trainer 2,yes,full_attendance,,66d93e61-e97c-453f-80b7-716fac82d8df,2026-05-09 14:11:00,2026-05-09 14:09:00,tester_02,2026-05-09 14:11:06,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/b4628463-d8d4-4baf-aaa4-3650f53bf775/,tester_02,2.0
276,574d5260-7bfd-4d63-b584-0ae8c1a5f711,2026-04-10,good_agronomic_practices,,Farmer Cooperative Centre,Trainer 4,yes,full_attendance,,2e821303-28fb-4818-905b-0d76334169bf,2026-04-10 14:05:00,2026-04-10 14:03:00,tester_01,2026-04-10 14:05:17,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/574d5260-7bfd-4d63-b584-0ae8c1a5f711/,tester_01,2.0
277,2873f639-aaac-4fd6-a40a-6a4f25f0b349,2026-03-07,other,Financial Literacy,Farmer Cooperative Centre,Trainer 3,yes,partial_attendance,arrived_late,c332425c-0376-4a3f-a43f-1099dc70ac7a,2026-03-07 13:13:00,2026-03-07 13:09:00,tester_03,2026-03-07 13:13:08,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/2873f639-aaac-4fd6-a40a-6a4f25f0b349/,tester_03,4.0
278,d33ede9c-98b8-4da6-a0f5-d691442f48ff,2026-07-12,other,Financial Literacy,Farmer Cooperative Centre,Trainer 1,yes,full_attendance,,7956ffbd-bb58-4e4c-acf7-beec9b5501ad,2026-07-12 12:09:00,2026-07-12 12:05:00,tester_02,2026-07-12 12:09:19,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/d33ede9c-98b8-4da6-a0f5-d691442f48ff/,tester_02,4.0
279,5043cff4-7ba9-4277-9994-794212044eab,2026-03-24,pest_and_disease_management,,Village Square,Trainer 2,yes,full_attendance,,1e920555-d366-456b-94d9-a86e5c7773cb,2026-03-24 13:42:00,2026-03-24 13:40:00,tester_06,2026-03-24 13:42:15,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/5043cff4-7ba9-4277-9994-794212044eab/,tester_06,2.0
280,ce8c8ba8-13d8-40c6-8acb-78f07e562eb2,2026-08-13,irrigation_and_water_management,,Primary School,Trainer 5,yes,full_attendance,,0b5e6a12-0f11-4da4-9e59-78b479c739d3,2026-08-13 09:33:00,2026-08-13 09:25:00,tester_03,2026-08-13 09:33:10,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/ce8c8ba8-13d8-40c6-8acb-78f07e562eb2/,tester_03,8.0
281,31e804b1-5492-4975-bc67-cedd175d9601,2026-05-19,livestock_management,,Community Hall,Trainer 1,yes,full_attendance,,bd670d30-1b44-4be4-b17d-ee539e3bd8a1,2026-05-19 09:39:00,2026-05-19 09:36:00,tester_07,2026-05-19 09:39:09,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/31e804b1-5492-4975-bc67-cedd175d9601/,tester_07,3.0
282,7b5b5c2f-e780-4cdb-908e-17406181c2b9,2026-05-18,livestock_management,,Primary School,Trainer 3,yes,full_attendance,,097578f8-5828-4847-a58d-81527355ed47,2026-05-18 12:26:00,2026-05-18 12:21:00,tester_01,2026-05-18 12:26:20,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/7b5b5c2f-e780-4cdb-908e-17406181c2b9/,tester_01,5.0
283,9dea40ae-eac5-47e3-8a21-caae0abcec8e,2026-06-22,good_agronomic_practices,,Primary School,Trainer 1,yes,full_attendance,,517dba64-04df-4b7b-8d60-dc79fd4441d5,2026-06-22 14:07:00,2026-06-22 14:05:00,tester_06,2026-06-22 14:07:10,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/9dea40ae-eac5-47e3-8a21-caae0abcec8e/,tester_06,2.0
284,493abd11-fe53-43c1-bba3-16ec34729589,2026-05-26,record_keeping,,Primary School,Trainer 1,yes,partial_attendance,personal_emergency,78fbdca2-79c0-4773-8bae-6db2fa1f8d62,2026-05-26 10:05:00,2026-05-26 09:57:00,tester_03,2026-05-26 10:05:13,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/493abd11-fe53-43c1-bba3-16ec34729589/,tester_03,8.0
285,19573241-f04c-49e1-aa30-fb0ea1057565,2026-06-30,record_keeping,,Village Square,Trainer 2,no,,,7d89acda-3338-4085-9c6a-23e5c63e60b8,2026-06-30 13:53:00,2026-06-30 13:48:00,tester_05,2026-06-30 13:53:10,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/19573241-f04c-49e1-aa30-fb0ea1057565/,tester_05,5.0
286,49a78e1f-3e33-48ef-b1e9-b49a6b6e95ec,2026-09-10,good_agronomic_practices,,Community Hall,Trainer 1,yes,partial_attendance,personal_emergency,c684ccd0-8050-46e9-bc4d-975d673e00ed,2026-09-10 12:06:00,2026-09-10 12:00:00,tester_02,2026-09-10 12:06:18,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/49a78e1f-3e33-48ef-b1e9-b49a6b6e95ec/,tester_02,6.0
287,ab626515-5e83-42c5-a501-493eb93e6742,2026-08-03,pest_and_disease_management,,Extension Office,Trainer 4,yes,full_attendance,,17f56476-8285-4921-ba41-6471683bf3a7,2026-08-03 11:02:00,2026-08-03 10:54:00,tester_05,2026-08-03 11:02:11,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/ab626515-5e83-42c5-a501-493eb93e6742/,tester_05,8.0
288,99fe32fa-9288-4439-a2f8-a6412b5d96ff,2026-06-03,soil_fertility_management,,Community Hall,Trainer 2,yes,full_attendance,,73bb3600-23dd-46a8-a365-aa96ed12e775,2026-06-03 11:48:00,2026-06-03 11:41:00,tester_06,2026-06-03 11:48:11,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/99fe32fa-9288-4439-a2f8-a6412b5d96ff/,tester_06,7.0
289,3cb80bbc-c764-4ee4-a709-e7d2a7acfc3d,2026-04-06,other,Climate Smart Agriculture,Primary School,Trainer 5,yes,full_attendance,,fcbb5168-5d37-4f5f-ad3b-8f4c07fbe7ee,2026-04-06 14:43:00,2026-04-06 14:41:00,tester_05,2026-04-06 14:43:05,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/3cb80bbc-c764-4ee4-a709-e7d2a7acfc3d/,tester_05,2.0
290,a572e0ae-bb90-43b0-a32f-8a1afd74e5f4,2026-04-15,record_keeping,,Farmer Cooperative Centre,Trainer 3,yes,full_attendance,,45a3ec77-e978-4ae4-a2bb-85e6b7d261b5,2026-04-15 15:17:00,2026-04-15 15:14:00,tester_01,2026-04-15 15:17:20,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/a572e0ae-bb90-43b0-a32f-8a1afd74e5f4/,tester_01,3.0
291,ee65836c-f222-4f2e-9afd-ad746f0f725d,2026-04-15,good_agronomic_practices,,Primary School,Trainer 3,yes,partial_attendance,left_early,cb9517ba-7030-4996-8bb1-e26aca098e96,2026-04-15 08:35:00,2026-04-15 08:32:00,tester_01,2026-04-15 08:35:17,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/ee65836c-f222-4f2e-9afd-ad746f0f725d/,tester_01,3.0
292,53cf5691-6b39-4694-8ace-9a9918ccc402,2026-03-19,pest_and_disease_management,,Extension Office,Trainer 4,yes,partial_attendance,personal_emergency,0627c940-6e90-4501-aa1a-1b1718aa355d,2026-03-19 14:44:00,2026-03-19 14:39:00,tester_04,2026-03-19 14:44:07,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/53cf5691-6b39-4694-8ace-9a9918ccc402/,tester_04,5.0
293,68cfd9d4-f86e-4e30-a777-b142979c2710,2026-06-04,good_agronomic_practices,,Community Hall,Trainer 3,no,,,2001da8c-83d0-4b6d-8006-be9b19019b8e,2026-06-04 08:55:00,2026-06-04 08:50:00,tester_06,2026-06-04 08:55:08,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/68cfd9d4-f86e-4e30-a777-b142979c2710/,tester_06,5.0
294,060c2a0a-74f4-4a7c-8dc0-bfd2852206a9,2026-05-22,other,Climate Smart Agriculture,Community Hall,Trainer 5,yes,full_attendance,,16ef6832-4d01-4446-b453-27eaa1ad8818,2026-05-22 12:54:00,2026-05-22 12:46:00,tester_01,2026-05-22 12:54:09,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/060c2a0a-74f4-4a7c-8dc0-bfd2852206a9/,tester_01,8.0
295,a11261c7-f371-42da-a3d8-784810fd8bf3,2026-07-11,good_agronomic_practices,,Farmer Cooperative Centre,Trainer 5,yes,partial_attendance,other,a17076c5-fc01-4c68-b2e5-b9741fc22ac8,2026-07-11 13:20:00,2026-07-11 13:16:00,tester_02,2026-07-11 13:20:12,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/a11261c7-f371-42da-a3d8-784810fd8bf3/,tester_02,4.0
296,c1fdec92-43c1-42bb-be6a-8a3caabfb7d5,2026-07-26,pest_and_disease_management,,Farmer Cooperative Centre,Trainer 5,yes,full_attendance,,0943a45e-8296-4bb6-a574-5b1c3177aea5,2026-07-26 15:33:00,2026-07-26 15:29:00,tester_04,2026-07-26 15:33:18,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/c1fdec92-43c1-42bb-be6a-8a3caabfb7d5/,tester_04,4.0
297,9d0838d9-7f11-41e9-9e48-e0fd9ba43b6f,2026-10-15,livestock_management,,Village Square,Trainer 2,yes,full_attendance,,20812ba8-a149-4b0d-a695-d6ae4ffe5d99,2026-10-15 10:53:00,2026-10-15 10:48:00,tester_02,2026-10-15 10:53:15,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/9d0838d9-7f11-41e9-9e48-e0fd9ba43b6f/,tester_02,5.0
298,478fe2b0-54ab-4c5d-8721-c8931ac40e14,2026-04-29,soil_fertility_management,,Farmer Cooperative Centre,Trainer 1,yes,full_attendance,,9940c27f-d5a6-4348-9a44-c9776c72f109,2026-04-29 11:55:00,2026-04-29 11:52:00,tester_06,2026-04-29 11:55:16,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/478fe2b0-54ab-4c5d-8721-c8931ac40e14/,tester_06,3.0
299,c4fdf708-9731-4ac7-a0b3-4f7050ee6fcd,2026-03-28,livestock_management,,Farmer Cooperative Centre,Trainer 3,no,,,f610578f-acbd-47ed-866e-8988e7b1c879,2026-03-28 10:01:00,2026-03-28 09:57:00,tester_06,2026-03-28 10:01:11,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/c4fdf708-9731-4ac7-a0b3-4f7050ee6fcd/,tester_06,4.0
300,88e9b139-8975-4c90-bc66-903658365148,2026-05-10,pest_and_disease_management,,Primary School,Trainer 5,yes,full_attendance,,0fc6e002-00ff-4be2-9874-2755e9dc335c,2026-05-10 09:45:00,2026-05-10 09:39:00,tester_02,2026-05-10 09:45:15,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/88e9b139-8975-4c90-bc66-903658365148/,tester_02,6.0
301,6ea52394-834f-4328-92df-9f66fd716d82,2026-04-25,livestock_management,,Farmer Cooperative Centre,Trainer 4,yes,partial_attendance,other,38c25b4b-a775-429d-9b11-b5638d8953a4,2026-04-25 12:34:00,2026-04-25 12:32:00,tester_04,2026-04-25 12:34:20,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/6ea52394-834f-4328-92df-9f66fd716d82/,tester_04,2.0
302,a325524e-463a-4436-9562-ffad52ba6938,2026-05-11,record_keeping,,Village Square,Trainer 1,yes,full_attendance,,609176ca-0917-476b-a9ab-66c5c83de719,2026-05-11 11:23:00,2026-05-11 11:19:00,tester_07,2026-05-11 11:23:11,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/a325524e-463a-4436-9562-ffad52ba6938/,tester_07,4.0
303,21c1ebdc-a30c-4fde-ab04-c254e3d3bdbf,2026-02-17,livestock_management,,Primary School,Trainer 2,yes,full_attendance,,ca7bc036-238c-46f0-a02d-febf3e6cd312,2026-02-17 15:17:00,2026-02-17 15:13:00,tester_01,2026-02-17 15:17:19,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/21c1ebdc-a30c-4fde-ab04-c254e3d3bdbf/,tester_01,4.0
